document_id,cluster
0,6
1,7
2,6
3,1
4,6
5,3
6,5
7,5
8,2
9,6
10,0
11,7
12,3
13,6
14,7
15,5
16,0
17,6
18,6
19,1
20,6
21,2
22,6
23,6
24,1
25,6
26,4
27,6
28,5
29,3
30,6
31,5
32,4
33,4
34,5
35,7
36,6
37,2
38,6
39,6
40,6
41,6
42,2
43,2
44,5
45,6
46,1
47,4
48,3
49,7
50,5
51,2
52,5
53,6
54,2
55,6
56,5
57,5
58,2
59,6
60,6
61,5
62,7
63,2
64,6
65,1
66,6
67,5
68,5
69,2
70,0
71,0
72,4
73,6
74,3
75,6
76,0
77,6
78,6
79,6
80,3
81,2
82,7
83,2
84,2
85,2
86,3
87,6
88,6
89,5
90,6
91,2
92,7
93,6
94,6
95,6
96,6
97,2
98,5
99,7
100,6
101,6
102,6
103,2
104,1
105,5
106,0
107,4
108,2
109,7
110,3
111,3
112,6
113,7
114,6
115,5
116,3
117,6
118,6
119,6
120,5
121,2
122,2
123,1
124,0
125,3
126,1
127,2
128,1
129,4
130,6
131,7
132,6
133,6
134,0
135,6
136,6
137,1
138,5
139,6
140,3
141,3
142,5
143,0
144,5
145,6
146,6
147,6
148,0
149,3
150,0
151,3
152,1
153,5
154,4
155,5
156,6
157,5
158,0
159,2
160,6
161,6
162,6
163,6
164,0
165,2
166,4
167,0
168,0
169,6
170,6
171,6
172,1
173,1
174,6
175,7
176,6
177,6
178,5
179,5
180,7
181,6
182,6
183,5
184,1
185,1
186,5
187,6
188,6
189,5
190,6
191,6
192,6
193,7
194,7
195,0
196,4
197,0
198,6
199,2
200,4
201,6
202,6
203,7
204,7
205,3
206,0
207,5
208,3
209,5
210,5
211,6
212,6
213,6
214,6
215,1
216,7
217,6
218,6
219,6
220,0
221,5
222,6
223,1
224,6
225,6
226,6
227,1
228,5
229,7
230,0
231,0
232,6
233,6
234,7
235,6
236,7
237,6
238,1
239,6
240,6
241,6
242,6
243,2
244,3
245,1
246,1
247,1
248,5
249,7
250,6
251,6
252,5
253,5
254,3
255,1
256,2
257,6
258,6
259,6
260,1
261,3
262,6
263,0
264,6
265,6
266,6
267,6
268,0
269,1
270,2
271,2
272,5
273,6
274,5
275,5
276,3
277,7
278,1
279,6
280,6
281,2
282,6
283,6
284,7
285,5
286,6
287,7
288,1
289,0
290,3
291,2
292,6
293,1
294,1
295,6
296,7
297,1
298,4
299,2
300,5
301,6
302,6
303,4
304,4
305,6
306,6
307,0
308,5
309,6
310,6
311,5
312,7
313,5
314,5
315,2
316,7
317,6
318,6
319,6
320,7
321,6
322,6
323,3
324,3
325,6
326,7
327,6
328,0
329,2
330,3
331,3
332,7
333,6
334,7
335,2
336,3
337,6
338,4
339,0
340,6
341,7
342,1
343,5
344,3
345,6
346,5
347,5
348,6
349,1
350,0
351,5
352,3
353,0
354,2
355,6
356,3
357,5
358,3
359,6
360,4
361,0
362,5
363,4
364,3
365,3
366,2
367,0
368,6
369,6
370,3
371,1
372,1
373,1
374,3
375,2
376,2
377,7
378,3
379,6
380,6
381,7
382,1
383,7
384,2
385,3
386,6
387,5
388,0
389,5
390,6
391,2
392,0
393,6
394,6
395,1
396,3
397,1
398,6
399,6
400,6
401,6
402,6
403,2
404,3
405,0
406,0
407,7
408,6
409,3
410,2
411,5
412,6
413,6
414,6
415,7
416,3
417,3
418,4
419,7
420,6
421,5
422,0
423,3
424,3
425,6
426,5
427,0
428,6
429,6
430,6
431,7
432,1
433,5
434,6
435,7
436,6
437,6
438,6
439,2
440,3
441,0
442,2
443,6
444,2
445,3
446,3
447,7
448,6
449,7
450,6
451,6
452,5
453,2
454,6
455,6
456,2
457,6
458,6
459,3
460,1
461,4
462,3
463,0
464,1
465,6
466,7
467,3
468,6
469,1
470,6
471,5
472,2
473,3
474,3
475,2
476,6
477,6
478,3
479,0
480,2
481,4
482,3
483,2
484,2
485,6
486,6
487,6
488,5
489,5
490,5
491,2
492,6
493,7
494,2
495,6
496,3
497,6
498,2
499,7
500,7
501,0
502,4
503,0
504,7
505,6
506,7
507,7
508,6
509,7
510,1
511,0
512,2
513,0
514,7
515,6
516,6
517,5
518,3
519,7
520,6
521,6
522,5
523,6
524,7
525,7
526,2
527,5
528,2
529,6
530,6
531,5
532,0
533,6
534,4
535,1
536,0
537,2
538,3
539,7
540,6
541,7
542,6
543,3
544,3
545,5
546,7
547,6
548,2
549,3
550,3
551,6
552,2
553,1
554,2
555,5
556,6
557,2
558,7
559,3
560,6
561,6
562,6
563,3
564,6
565,6
566,6
567,5
568,6
569,5
570,2
571,1
572,7
573,6
574,4
575,3
576,3
577,4
578,3
579,2
580,7
581,3
582,0
583,1
584,6
585,6
586,5
587,6
588,1
589,2
590,7
591,6
592,2
593,5
594,0
595,6
596,6
597,6
598,5
599,3
600,5
601,6
602,3
603,3
604,5
605,7
606,6
607,2
608,3
609,6
610,4
611,6
612,6
613,6
614,7
615,3
616,7
617,6
618,1
619,7
620,2
621,6
622,5
623,2
624,2
625,6
626,7
627,2
628,6
629,1
630,6
631,1
632,5
633,1
634,3
635,6
636,3
637,2
638,6
639,2
640,5
641,2
642,5
643,6
644,1
645,7
646,2
647,4
648,0
649,6
650,6
651,7
652,3
653,5
654,2
655,3
656,3
657,7
658,6
659,7
660,6
661,1
662,6
663,6
664,2
665,2
666,7
667,5
668,6
669,6
670,6
671,5
672,6
673,3
674,2
675,2
676,1
677,0
678,4
679,2
680,5
681,2
682,6
683,5
684,6
685,4
686,6
687,7
688,5
689,6
690,6
691,5
692,2
693,2
694,1
695,6
696,2
697,6
698,2
699,6
700,3
701,7
702,2
703,6
704,2
705,0
706,3
707,7
708,6
709,7
710,6
711,6
712,7
713,0
714,3
715,7
716,6
717,5
718,7
719,3
720,6
721,5
722,5
723,1
724,5
725,0
726,6
727,7
728,5
729,3
730,5
731,6
732,6
733,7
734,6
735,5
736,6
737,6
738,5
739,1
740,6
741,2
742,5
743,6
744,7
745,7
746,4
747,7
748,0
749,6
750,0
751,6
752,0
753,2
754,3
755,6
756,3
757,2
758,6
759,6
760,6
761,6
762,6
763,6
764,5
765,6
766,6
767,6
768,3
769,6
770,3
771,3
772,1
773,2
774,1
775,6
776,3
777,5
778,7
779,3
780,5
781,2
782,2
783,4
784,4
785,0
786,2
787,7
788,7
789,6
790,0
791,5
792,6
793,4
794,4
795,5
796,6
797,1
798,6
799,2
800,2
801,6
802,7
803,6
804,6
805,6
806,5
807,3
808,1
809,6
810,2
811,6
812,7
813,2
814,2
815,5
816,2
817,0
818,1
819,6
820,2
821,2
822,6
823,7
824,1
825,6
826,6
827,1
828,6
829,7
830,6
831,6
832,1
833,6
834,7
835,0
836,2
837,6
838,2
839,0
840,0
841,2
842,6
843,1
844,6
845,6
846,6
847,5
848,7
849,3
850,2
851,7
852,0
853,6
854,1
855,1
856,1
857,7
858,7
859,6
860,6
861,2
862,1
863,0
864,3
865,7
866,2
867,1
868,6
869,4
870,7
871,0
872,0
873,4
874,7
875,4
876,6
877,6
878,6
879,2
880,7
881,2
882,6
883,2
884,2
885,3
886,7
887,7
888,3
889,6
890,3
891,5
892,2
893,3
894,6
895,6
896,7
897,5
898,3
899,6
900,6
901,7
902,7
903,5
904,7
905,5
906,6
907,2
908,0
909,6
910,6
911,7
912,6
913,6
914,1
915,4
916,6
917,6
918,6
919,6
920,0
921,7
922,7
923,7
924,4
925,6
926,6
927,2
928,7
929,7
930,6
931,5
932,3
933,3
934,1
935,6
936,3
937,2
938,6
939,2
940,6
941,6
942,0
943,4
944,6
945,2
946,0
947,4
948,1
949,1
950,3
951,7
952,6
953,6
954,5
955,3
956,3
957,0
958,3
959,6
960,6
961,6
962,1
963,6
964,5
965,3
966,5
967,2
968,7
969,0
970,7
971,6
972,1
973,2
974,5
975,1
976,6
977,2
978,0
979,6
980,0
981,3
982,2
983,7
984,3
985,6
986,0
987,6
988,7
989,6
990,6
991,1
992,1
993,2
994,2
995,6
996,2
997,3
998,6
999,1
1000,6
1001,3
1002,1
1003,6
1004,5
1005,6
1006,6
1007,6
1008,6
1009,2
1010,2
1011,6
1012,4
1013,6
1014,6
1015,6
1016,1
1017,4
1018,6
1019,6
1020,6
1021,5
1022,6
1023,7
1024,6
1025,5
1026,6
1027,6
1028,3
1029,5
1030,6
1031,6
1032,6
1033,6
1034,6
1035,5
1036,6
1037,6
1038,7
1039,6
1040,7
1041,2
1042,6
1043,1
1044,0
1045,5
1046,3
1047,6
1048,6
1049,3
1050,2
1051,7
1052,7
1053,6
1054,6
1055,3
1056,5
1057,6
1058,0
1059,3
1060,6
1061,2
1062,6
1063,6
1064,3
1065,5
1066,5
1067,5
1068,7
1069,6
1070,2
1071,3
1072,6
1073,3
1074,5
1075,6
1076,5
1077,5
1078,5
1079,6
1080,6
1081,6
1082,6
1083,5
1084,5
1085,7
1086,5
1087,2
1088,3
1089,6
1090,6
1091,0
1092,3
1093,3
1094,2
1095,6
1096,6
1097,3
1098,6
1099,0
1100,6
1101,5
1102,7
1103,6
1104,3
1105,1
1106,2
1107,6
1108,5
1109,6
1110,5
1111,1
1112,7
1113,6
1114,3
1115,1
1116,1
1117,6
1118,6
1119,6
1120,6
1121,2
1122,3
1123,0
1124,6
1125,6
1126,6
1127,2
1128,6
1129,6
1130,7
1131,6
1132,3
1133,6
1134,0
1135,6
1136,6
1137,6
1138,4
1139,6
1140,5
1141,6
1142,6
1143,6
1144,6
1145,6
1146,5
1147,7
1148,6
1149,6
1150,6
1151,6
1152,3
1153,1
1154,6
1155,6
1156,6
1157,1
1158,1
1159,7
1160,6
1161,5
1162,0
1163,0
1164,4
1165,6
1166,2
1167,6
1168,6
1169,1
1170,3
1171,6
1172,6
1173,7
1174,6
1175,5
1176,5
1177,7
1178,1
1179,6
1180,5
1181,6
1182,3
1183,1
1184,4
1185,6
1186,4
1187,3
1188,4
1189,7
1190,6
1191,4
1192,6
1193,2
1194,5
1195,1
1196,6
1197,3
1198,2
1199,6
1200,4
1201,6
1202,5
1203,6
1204,3
1205,3
1206,7
1207,7
1208,0
1209,7
1210,6
1211,6
1212,0
1213,6
1214,7
1215,4
1216,3
1217,6
1218,2
1219,6
1220,5
1221,6
1222,7
1223,0
1224,0
1225,6
1226,5
1227,6
1228,2
1229,2
1230,2
1231,6
1232,2
1233,6
1234,3
1235,2
1236,1
1237,4
1238,6
1239,6
1240,6
1241,6
1242,7
1243,2
1244,5
1245,2
1246,1
1247,6
1248,2
1249,3
1250,7
1251,3
1252,1
1253,6
1254,6
1255,7
1256,6
1257,6
1258,2
1259,7
1260,7
1261,0
1262,2
1263,7
1264,6
1265,6
1266,6
1267,6
1268,2
1269,6
1270,7
1271,7
1272,5
1273,3
1274,2
1275,5
1276,6
1277,5
1278,5
1279,6
1280,6
1281,3
1282,2
1283,6
1284,7
1285,6
1286,6
1287,7
1288,5
1289,7
1290,3
1291,2
1292,2
1293,7
1294,6
1295,7
1296,3
1297,3
1298,6
1299,3
1300,1
1301,1
1302,6
1303,6
1304,6
1305,2
1306,2
1307,2
1308,7
1309,7
1310,5
1311,7
1312,6
1313,0
1314,2
1315,6
1316,1
1317,6
1318,3
1319,0
1320,3
1321,3
1322,5
1323,2
1324,6
1325,6
1326,6
1327,6
1328,0
1329,0
1330,3
1331,4
1332,0
1333,6
1334,6
1335,6
1336,6
1337,1
1338,6
1339,6
1340,6
1341,6
1342,3
1343,7
1344,5
1345,6
1346,3
1347,2
1348,0
1349,6
1350,6
1351,6
1352,7
1353,5
1354,6
1355,1
1356,2
1357,7
1358,6
1359,6
1360,3
1361,2
1362,5
1363,3
1364,6
1365,7
1366,0
1367,0
1368,6
1369,6
1370,5
1371,7
1372,5
1373,6
1374,3
1375,6
1376,3
1377,6
1378,7
1379,6
1380,6
1381,2
1382,7
1383,2
1384,5
1385,2
1386,1
1387,6
1388,2
1389,1
1390,0
1391,2
1392,4
1393,6
1394,3
1395,0
1396,5
1397,3
1398,2
1399,6
1400,4
1401,6
1402,3
1403,6
1404,5
1405,6
1406,5
1407,7
1408,4
1409,0
1410,6
1411,0
1412,4
1413,6
1414,6
1415,5
1416,6
1417,2
1418,7
1419,2
1420,7
1421,6
1422,1
1423,7
1424,6
1425,4
1426,2
1427,5
1428,0
1429,3
1430,6
1431,7
1432,2
1433,7
1434,6
1435,6
1436,2
1437,6
1438,7
1439,0
1440,3
1441,7
1442,0
1443,6
1444,6
1445,5
1446,2
1447,6
